Специализация,Компания
Middle Python developer,Miratech
Middle Python developer,Group FS
Python Developer,ReZet
Python/Scrapy Developer,Global ATG
Senior Python Developer,Sportech LLC
Middle Python/Django backend developer,KMI Learning
Middle Python Developer,PozitiFF
Python/Django developer,DCOD
Backend developer (Python/Django),Code Art LP
Strong Middle/Senior Python Developer,Echo Ukraine LLC
Программист ERP (Python),MetroTowTrucks
Senior Python Software Engineer in Data Science Team,Lalafo
"Python-разработчик, Team lead",Dog
Python-Backend API-разработчик,Filesonweb
Senior Back-End Developer (Python),SandSIV Switzerland AG
Full-stack Python/Django Web Developer (Middle),SoftFormance
Advanced Python Programmer,ThoroughBet
Python developer,"Сити Ворлд Груп, ООО"
Python Developer,Kudos doo
Senior C++/Python Developer,Swiss Tech
Senior Python Developer,Kyriba Minsk
Программист Python (Junior),Lexico Telecom
Python Developer,"Сименс Медицина, ООО"
Преподаватель курсов программирования scratch/python/C/C+,"Junior IT, школа программирования для детей"
"Back-end разработчик (python), DevOps, Admin","ИТ Центр Софтвариум, ООО"
Full Stack Python developer,Synergy Way
Инструктор Python,RA-svet Ltd.
Full-Stack Python/Django/AngularJS Developer,42 Coffee Cups
"Ruby, Python, Javascript developers",Chimplie
Python Developer,LBC
Middle Python Developer,BASquare
"Developer С++, C#, python",Space tech ltd
"PHP, Python Developer","Інтелдім, ПП"
